Product Name,Brand,New Price,Old Price,Discount,Items Left,Ratings
"NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2) + Pearl & Beauty Anti-Perspirant Rollon For Women, 48h - 50ml.",N/A,"KSh 1,121","KSh 1,460",23%,Not specified,4.4 out of 5
4PCs Washable Waterproof Nylon Urine Baby Pants,N/A,KSh 238,KSh 333,29%,Not specified,3.2 out of 5
3 pcs ladies sexy low waist  classy lace thong panties,N/A,KSh 399,KSh 500,20%,Not specified,3.8 out of 5
"6Pcs Cotton Men's Vest Underwear Assorted White,black,grey",N/A,KSh 899 - KSh 999,"KSh 2,500",64%,Not specified,3 out of 5
"L'Oréal Paris Glycolic Cleanse & Protect Kit, Glycolic Bright Cleanser Foam 100ml, Glycolic Bright Melasy Serum 30ml",N/A,"KSh 2,520","KSh 3,150",20%,Not specified,No ratings
6Pcs Soft Cotton Checked Big Size Men's Boxers –for Trauser Size 34-45,N/A,KSh 699,KSh 899,22%,Not specified,4 out of 5
Red Waterproof Kids Student School Back Pack School Bags(PP1-Grade 5),N/A,"KSh 1,099","KSh 1,600",31%,Not specified,5 out of 5
WHITE Official Mens Longsleeve Shirt Slim Fit,N/A,KSh 631 - KSh 999,"KSh 949 - KSh 1,500",58%,Not specified,4 out of 5
6 pcs ladies cotton stretchy seamless panties,N/A,KSh 499,KSh 600,17%,Not specified,3.7 out of 5
3PACK Official Mens Longsleeve Shirt Slim Fit+FREE Neck Tie,N/A,"KSh 1,741 - KSh 2,499","KSh 2,499",30%,Not specified,3.8 out of 5
6 pcs Quality seamless lace ladies panties,N/A,KSh 797,KSh 989,19%,Not specified,4 out of 5
"Garnier Skin Active Micellar Cleansing Water 3 In 1 For Sensitive Skin Cleanses, Soothes And Removes Make Up - 100ml",N/A,KSh 236,KSh 310,24%,Not specified,4.4 out of 5
4 Pcs Ladies Cotton Stretchy Seamless Pants  - Assorted Colors,N/A,KSh 350,KSh 425,18%,Not specified,3.8 out of 5
Denim Slim Fit Mens Jeans-Ashy Wash Grey,N/A,"KSh 1,197 - KSh 1,699","KSh 1,499 - KSh 1,699",24%,Not specified,3.7 out of 5
